id,day_of_year,quote,author,of_year
1,1,"'Enough' is a feast.","Buddhist Proverb",2021
2,2,"It’s a funny thing about life, once you begin to take note of the things you are grateful for, you begin to lose sight of the things that you lack.","Germany Kent",2021
3,3,"The heart that gives thanks is a happy one, for we cannot feel thankful and unhappy at the same time.","Douglas Wood",2021
4,4,"Piglet noticed that even though he had a Very Small Heart, it could hold a rather large amount of Gratitude.","A.A. Milne",2021
5,5,"Wear gratitude like a cloak, and it will feed every corner of your life.",Rumi,2021
6,6,"Though they only take a second to say, thank yous leave a warm feeling behind that can last for hours.","Kent Allan Rees",2021
7,7,"Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.",Epicurus,2021
8,8,"True forgiveness is when you can, ''Thank you for the experience.''","Oprah Winfrey",2021
9,9,"Cultivate the habit of being grateful for every good thing that comes to you, and to give thanks continuously. And because all things have contributed to your advancement, you should include all things in your gratitude.","Ralph Waldo Emerson",2021
10,10,"Let gratitude be the pillow upon which you kneel to say your nightly prayer. And let faith be the bridge you build to overcome evil and welcome good.","Maya Angelou",2021
11,11,"If the only prayer you said was thank you, that would be enough.","Meister Eckhart",2021
12,12,"We must find time to stop and thank the people who make a difference in our lives.","John F. Kennedy",2021
13,13,"Gratitude looks to the Past and love to the Present; fear, avarice, lust, and ambition look ahead.","C.S. Lewis",2021
14,14,"The unthankful heart discovers no mercies; but the thankful heart will find, in every hour, some heavenly blessings.","Henry Ward Beecher",2021
15,15,"Gratitude is the ability to experience life as a gift. It liberates us from the prison of self-preoccupation.","John Ortberg",2021
16,16,"When I think of how many people in this world have it worse than I do, I realize just how blessed I really am... and I have to give thanks ...","Shannan Lea",2021
17,17,"If you fail to carry around with you a heart of gratitude for the love you’ve been so freely given, it is easy for you not to love others as you should.","Paul David Tripp",2021
18,18,"Gratitude and attitude are not challenges; they are choices.","Robert Braathe",2021
19,19,"We can only be said to be alive in those moments when our hearts are conscious of our treasures.","Thornton Wilder",2021
20,20,"Rest and be thankful.","William Wordsworth",2021
21,21,"I lie in bed at night, after ending my prayers with the words 'Ich danke dir für all das Gute und Liebe und Schöne.' (Thank you, God, for all that is good and dear and beautiful.)","Anne Frank",2021
22,22,"O Lord that lends me life, lend me a heart replete with thankfulness.","William Shakespeare",2021
23,23,"I’m still thanking all the stars, one by one.","Marissa Meyer",2021
24,24,"Thankfulness is the quickest path to joy.","Jefferson Bethke",2021
25,25,"There’s a kind of holiness to love, requited or not, and those people who don’t receive it with gratitude are arrogant beyond saving.","Marisa de los Santos",2021
26,26,"Gratitude goes beyond the 'mine' and 'thine' and claims the truth that all of life is a pure gift.","Henri J.M. Nouwen",2021
27,27,"Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary.","Margaret Cousins",2021
28,28,"Let us rise up and be thankful, for if we didn’t learn a lot today, at least we learned a little, and if we didn’t learn a little, at least we didn’t get sick, and if we got sick, at least we didn’t die; so, let us all be thankful.",Buddha,2021
29,29,"I looked around and thought about my life. I felt grateful. I noticed every detail. That is the key to time travel. You can only move if you are actually in the moment. You have to be where you are to get where you need to go.","Amy Poehler",2021
30,30,"As with all commandments, gratitude is a description of a successful mode of living. The thankful heart opens our eyes to a multitude of blessings that continually surround us.","James E. Faust",2021
31,31,"At times, our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lighted the flame within us.","Albert Schweitzer",2021
32,32,"Learn to be thankful for what you already have, while you pursue all that you want.","Jim Rohn",2021
85,85,"Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.","Marcel Proust",2021
33,33,"‘Thank you‘ is the best prayer that anyone could say. I say that one a lot. Thank you expresses extreme gratitude, humility, understanding.","Alice Walker",2021
34,34,"Enjoy the little things, for one day you may look back and realize they were the big things.","Robert Brault",2021
