id,dayofyear,quote,author,year
1,311,Summer means happy times and good sunshine,Brian Wilson,2021
1,312,"We are entitled to peace, liberation, transformation and second chances.",Anonymous,2021
1,313,Unfold your own myth,Rumi,2021
1,314,You have to believe in yourself when no one else does,Venus Williams,2021
1,315,I don' t think limits,Usain Bolt,2021
1,316,Winning and losing isn't everything; sometimes the journey is just as important as the outcome.,Alex Morgan,2021
1,317,I learned to win by learning to lose - that means not being afraid of losing.,Jeff Blatnick,2021
1,318,It's better to look ahead & prepare than to look back and regret.,Jackie Joyner-Kersee,2021
1,319,Stillness is your essential nature.,Eckhart Tolle,2021
1,320,What I know for sure is that the only thing that really matters are the memories you make.,Rob Lowe,2021
1,321,The only limit to your success is your own imagination.,Shonda Rhimes,2021
1,322,There is always space for improvement.,Oscar De La Hoya,2021
1,323,"If you want to be the best, you have to do things that the other people aren't willing to do.",Michael Phelps,2021
1,324,The only way to escape fear is to trample it beneath your feet.,Nadia Comaneci,2021
1,325,You are worthy of all the love in this world.,Tika Sumpter,2021
1,326,Let every step you take move you in the direction of love.,Oprah Winfrey,2021
1,327,Heart is what drives us and determines our fate.,Isabel Allende,2021
1,328,You are changing the world. You always have been.,Joss Wheldon,2021
1,329,"Kind words can be short and easy to speak, but their echoes are truly endless.",Mother Teresa,2021
1,330,Success? It's all about being able to extend love to others.,Ralph Fiennes,2021
1,331,"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu,2021
1,332,The greatest gift is a portion of thyself.,Ralph Waldo Emerson,2021
1,333,The most overwhelming key to a child's success is the positive involvement of parents.,Jane D. Hull,2021
1,334,One of the secrets of life is that all that is really worth doing is what we do for others.,Lewis Carroll,2021
1,335,Love or Fear. The decision defines you.,Oprah Winfrey,2021
1,336,"The people in your life should inspire you to be the best version of yourself, always.",Bold Moves,2021
1,337,We all hold unlimited power and we should use it.,Alicia Keys,2021
1,338,We will stun ourselves with what we are capable of.,Lena Dunham,2021
1,339,Confidence is like respect; you have to earn it.,Mindy Kaling,2021
1,340,We can push ourselves further. We always have more to give.,Simone Biles,2021
1,341,We are the only ones who get to decide what our time and energy and our talents will go to.,America Ferrera,2021
1,342,Recognize the possibility of the divine on any given moment.,Dani Shapiro,2021
1,343,"What makes you different or weird, that's your strength.",Meryl Streep,2021
1,344,Just because something works doesn't mean it can�t be improved.,Letitia Wright as Shuri,2021
1,345,"I've got to keep breathing because tomorrow, the sun will rise� who knows what the tide could bring. ",Tom Hanks,2021
1,346,"You want something, go get it. Period.",Will Smith,2021
1,347,"I didn't want to come to the end of my life without doing all I could to become a whole, full-voiced woman.",Jane Fonda,2021
1,348,"You'll have bad times, but it'll always wake you up to the good stuff you weren't paying  attention to.",Robin Williams,2021
1,349,It is not our abilities that show what we truly are.. It is our choices.,Albus Dumbledore,2021
1,350,"If you focus on what you left behind, you'' never be able to see what lies ahead.","Gusteau, Ratatouille",2021
1,351,"It's how much you can take and keep moving forward, that's how winning is done.",Rocky Balboa,2021
